Title,Russian Keywords,Annotation,Link,Title_found_phrases,Russian Keywords_found_phrases,Annotation_found_phrases
"['влияние', 'потепление', 'эксклав', 'степь', 'южный', 'подмосковье']","['изменение', 'климат', 'эксклав', 'луговой', 'степь', 'ксерофитизация', 'сообщество', 'параметр', 'экосистема', 'проективный', 'покрытие', 'вид']","['значительный', 'климатический', 'изменение', 'наблюдать', 'последний', 'десятилетие', 'возродить', 'интерес', 'проблема', 'миграция', 'вид', 'история', 'возможный', 'изменение', 'граница', 'растительность', 'целое', 'глобальный', 'потепление', 'настоящий', 'время', 'привести', 'неравномерный', 'выпадение', 'осадки', 'увеличение', 'атмосферный', 'выпадение', 'регион', 'выраженный', 'засуха', 'регион', 'южный', 'подмосковье', 'находиться', 'влияние', 'увеличиваться', 'период', 'засуха', 'который', 'прерываться', 'значительный', 'редкий', 'осадка', 'условие', 'фрагмент', 'степной', 'растительность', 'обитать', 'изолированно', 'зона', 'хвойный', 'широколиственный', 'лес', 'мочь', 'служить', 'природный', 'модель', 'выявление', 'механизм', 'изменение', 'экосистема', 'воздействие', 'новый', 'климатический', 'тренд', 'год', 'стационарный', 'наблюдение', 'выявить', 'направленность', 'изменение', 'экосистема', 'увеличение', 'осадки', 'весна', 'уменьшение', 'выпадение', 'осенний', 'период', 'сближение', 'растительный', 'ассоциация', 'видовой', 'состав', 'функциональный', 'параметр', 'ксерофитизация', 'сообщество', 'целое', 'ранее', 'мезофитный', 'ассоциация', 'увеличение', 'общий', 'продуктивность', 'доля', 'дерновинный', 'злак', 'продукция', 'проективный', 'покрытие', 'травостой']",https://cyberleninka.ru/article/n/vliyanie-potepleniya-na-eksklav-stepi-v-yuzhnom-podmoskovie,,,климатический изменение
"['экологический', 'последствие', 'современный', 'ритмический', 'гидро', 'климатический', 'изменение', 'ход', 'эволюция', 'заповедный', 'степной', 'ландшафт', 'забайкалье']","['ландшафтный', 'изменение', 'степной', 'озеро', 'перестройка', 'гидрографический', 'сеть']","['степной', 'ландшафт', 'даурия', 'испытывать', 'попеременный', 'обратимый', 'увлажнение', 'иссушение', 'воздействие', 'климатический', 'волна', 'протяженность', 'несколько', 'десяток', 'год', 'это', 'ощущаться', 'биота', 'гидрологический', 'мерзлотный', 'режим', 'водный', 'объект', 'особо', 'чувствительный', 'изменение', 'экология', 'ихтио', 'орнитофауна', 'водный', 'луговой', 'растительность', 'также', 'минерализация', 'поверхностный', 'подземный', 'вода', 'минимум', 'столетие', 'проявляться', 'естественный', 'аридизация', 'ландшафт', 'единый', 'торей', 'отметка', 'зеркало', 'последний', 'существовать', 'век', 'назад', 'дальнейший', 'фаза', 'трансгрессия', 'разделяться', 'озеро', 'отметка', 'урез', 'выше', 'век', 'участиться', 'удлиниться', 'фаза', 'деградация', 'крупный', 'степной', 'водоем', 'год', 'зафиксировать', 'лишь', 'эпизод', 'превращение', 'торейский', 'озеро', 'солончак', 'последний', 'год', 'глубокий', 'регрессия', 'озеро', 'полный', 'осушение', 'днище', 'длительность', 'год', 'образ', 'уникальный', 'особо', 'охранять', 'степной', 'водный', 'болотный', 'ландшафт', 'бассейн', 'торейский', 'озеро', 'климатически', 'обусловить', 'ритмика', 'нарушить', 'причина', 'происходить', 'естественный', 'боковой', 'перехват', 'низовье', 'река', 'улдз', 'река', 'телийна', 'гол', 'улдз', 'формировать', 'свой', 'сток', 'счет', 'атмосферный', 'осадки', 'увлажнить', 'район', 'западный', 'среднегорный', 'обрамление', 'даурский', 'степь', 'сброс', 'улдзоя', 'часть', 'расход', 'монгольский', 'озеро', 'хух', 'нур', 'протяжение', 'засушливый', 'климатический', 'фаза', 'полностью', 'лишать', 'торейский', 'озеро', 'водный', 'масса', 'угнетающе', 'сказываться', 'ландшафт', 'регион', 'добавка', 'реализовать', 'планировать', 'техногенный', 'вмешательство', 'число', 'перераспределение', 'трансграничный', 'сток', 'ставить', 'угроза', 'сохранение', 'едва', 'последний', 'заповедный', 'степной', 'ландшафт', 'северо', 'восток', 'евразия']",https://cyberleninka.ru/article/n/ekologicheskie-posledstviya-sovremennyh-ritmicheskih-gidro-klimaticheskih-izmeneniy-v-hode-evolyutsii-zapovednyh-stepnyh,климатический изменение,,
"['влияние', 'текущий', 'климатический', 'изменение', 'степной', 'экосистема', 'предуралья', 'зауралье']","['степь', 'изменение', 'климат', 'предуралье', 'зауралье', 'гис', 'технология', 'дзз', 'бпл', 'редкий', 'вид', 'растение', 'мониторинг']","['провести', 'оценка', 'текущий', 'изменение', 'климат', 'участок', 'степной', 'сообщество', 'предуралье', 'зауралье', 'середина', 'век', 'настоящий', 'время', 'установить', 'среднегодовой', 'максимальный', 'температура', 'увеличиться', 'это', 'увеличение', 'среднегодовой', 'температура', 'выше', 'зауралье', 'республика', 'башкортостан', 'зимний', 'максимальный', 'температура', 'увеличиться', 'сильный', 'летний', 'среднегодовой', 'количество', 'осадки', 'существенно', 'увеличиться', 'центральный', 'часть', 'предуралья', 'зауралье', 'несколько', 'снизиться', 'соответственно', 'период', 'отсутствие', 'активный', 'вегетация', 'ноябрь', 'арт', 'весь', 'модельный', 'степной', 'объект', 'отмечаться', 'значительный', 'увеличение', 'сумма', 'осадки', 'период', 'активный', 'вегетация', 'май', 'сентябрь', 'наоборот', 'снижение', 'обычный', 'год', 'значение', 'степной', 'растительность', 'отражать', 'интенсивность', 'фотосинтез', 'растение', 'увеличиваться', 'конец', 'июнь', 'период', 'максимальный', 'развитие', 'степной', 'растительность', 'начало', 'плодоношение', 'злак', 'цветение', 'разнотравье', 'экстремально', 'засушливый', 'год', 'объект', 'степной', 'растительность', 'значение', 'составлять', 'соответствовать', 'полностью', 'выгореть', 'пожелтеть', 'растительность', 'малый', 'степень', 'угнетение', 'растительность', 'наблюдаться', 'месягутовский', 'лесостепь', 'наиболее', 'сильный', 'центральный', 'часть', 'башкирский', 'предуралья', 'локальный', 'засуха', 'год', 'гора', 'канноников', 'снизиться', 'плотность', 'генеративный', 'растение', 'гора', 'измаилка', 'вследствие', 'изменение', 'климат', 'увеличение', 'антропогенный', 'нагрузка', 'гора', 'тратау', 'ухудшиться', 'состояние', 'популяция', 'шесть', 'вид', 'гора', 'сусактау', 'увеличиться', 'численность', 'засухоустойчивый', 'вид', 'анализ', 'изменение', 'степной', 'растительность', 'космоснимка', 'показать', 'увеличение', 'площадь', 'древесный', 'кустарниковый', 'растительность', 'понижение', 'рельеф', 'склон', 'гор', 'тастуба', 'измаилка', 'образ', 'изменение', 'количество', 'осадки', 'увеличение', 'частота', 'засуха', 'оказывать', 'существенный', 'влияние', 'состояние', 'состав', 'степной', 'сообщество']",https://cyberleninka.ru/article/n/vliyanie-tekuschih-klimaticheskih-izmeneniy-na-stepnye-ekosistemy-preduralya-i-zauralya,климатический изменение,,
"['оценка', 'подтопление', 'засоление', 'природный', 'антропогенный', 'ландшафт', 'степной', 'регион', 'поволжье']","['геоботанический', 'индикация', 'фитоценоз', 'основной', 'растение']","['цель', 'изучение', 'пространственный', 'распределение', 'биологический', 'экологический', 'закономерность', 'степной', 'территория', 'поволжье', 'проводиться', 'геоботанический', 'индикация', 'затопление', 'подтопление', 'засоление', 'земля', 'это', 'регион', 'статья', 'являться', 'результат', 'многолетний', 'междисциплинарный', 'исследование', 'основать', 'данные', 'получить', 'автор', 'результат', 'агроландшафтный', 'экологический', 'районирование', 'ход', 'полевой', 'экспедиционный', 'исследование', 'анализ', 'долговременный', 'ряд', 'статистический', 'информация', 'литературный', 'источник', 'интенсивный', 'хозяйственный', 'деятельность', 'требовать', 'использование', 'больший', 'объем', 'водный', 'ресурс', 'фон', 'современный', 'климатический', 'изменение', 'приводить', 'возникновение', 'переувлажнение', 'обширный', 'территория', 'ослабление', 'прекращение', 'хозяйственный', 'деятельность', 'снижение', 'использовать', 'объем', 'водный', 'ресурс', 'определенный', 'условие', 'вести', 'распространение', 'засоление', 'земля', 'затопление', 'подтопление', 'засоление', 'засушливый', 'земля', 'вблизи', 'водоем', 'канал', 'объект', 'мелиорация', 'функционировать', 'забросить', 'поле', 'орошение', 'занимать', 'значительный', 'площадь', 'иметь', 'большой', 'значение', 'экологический', 'проблема', 'поволжье', 'установить', 'геоботанический', 'индикатор', 'затопление', 'подтопление', 'засоление', 'земля', 'поволжье', 'который', 'включать', 'следующий', 'основной', 'показатель', 'основной', 'фитоценоз', 'основной', 'растение', 'увлажнение', 'засоление', 'почва', 'шкала', 'раменский']",https://cyberleninka.ru/article/n/otsenka-podtopleniya-i-zasoleniya-prirodno-antropogennyh-landshaftov-stepnyh-regionov-povolzhya,,,климатический изменение
"['влияние', 'климатический', 'изменение', 'распространение', 'дирофиляриоз', 'территория', 'курский', 'область']","['климатический', 'изменение', 'мониторига', 'трансмиссивный', 'заболевание', 'дирофиляриоз']","['статья', 'рассмотреть', 'влияние', 'климатический', 'изменение', 'повышение', 'средний', 'температура', 'поверхность', 'земля', 'распространение', 'дирофиляриоз', 'территория', 'курский', 'область', 'климатический', 'изменение', 'необратимый', 'являться', 'актуальный', 'современный', 'мир', 'проблема', 'связь', 'это', 'трансмиссивный', 'заболевание', 'характерный', 'определенный', 'климатический', 'пояс', 'частый', 'встречаться', 'зона', 'характерный', 'проявление', 'данный', 'заболевание', 'дирофиляриоз', 'это', 'трансмиссивный', 'инвазия', 'вызывать', 'нематода', 'род', 'промежуточный', 'хозяин', 'нематода', 'являться', 'комар', 'семейство', 'связь', 'повышение', 'среднегодовой', 'температура', 'увеличиваться', 'распространение', 'переносчик', 'данный', 'гельминтоз', 'способствовать', 'активный', 'циркуляция', 'болезнь', 'заражение', 'больший', 'количество', 'облигатный', 'дефинитивный', 'хозяин', 'собака', 'редкий', 'кошка', 'человек', 'также', 'наличие', 'заразить', 'бродячий', 'животное', 'условие', 'город', 'иметь', 'место', 'заражение', 'человек', 'подвальный', 'комар', 'круглогодично', 'согласно', 'материал', 'государственный', 'доклад', 'состояние', 'санитарный', 'эпидемиологический', 'благополучие', 'население', 'курский', 'область', 'течение', 'последний', 'десятилетие', 'наблюдаться', 'случай', 'заражение', 'человек', 'дирофиляриоз', 'ранее', 'данный', 'паразитоз', 'основный', 'встречаться', 'южный', 'регион', 'российский', 'федерация']",https://cyberleninka.ru/article/n/vliyanie-klimaticheskih-izmeneniy-na-rasprostranenie-dirofilyarioza-na-territorii-kurskoy-oblasti,климатический изменение,климатический изменение,климатический изменение
"['перспективный', 'направление', 'использование', 'горец', 'вейрих', 'инвазивный', 'потенциал']","['прикладной', 'значение', 'растениеводство', 'фарминдустрия', 'фиторемедиация', 'углеродный', 'земледелие', 'озеленение', 'инвазивный', 'потенциал']","['цель', 'исследование', 'обзор', 'научный', 'исследование', 'посвятить', 'некоторый', 'направление', 'практический', 'использование', 'нетрадиционный', 'сельскохозяйственный', 'растение', 'горец', 'вейрих', 'являться', 'представитель', 'дальневосточный', 'крупнотравие', 'данный', 'вид', 'образовать', 'культура', 'устойчивый', 'долголетний', 'плантация', 'предел', 'свой', 'первичный', 'ареал', 'ряд', 'регион', 'россия', 'условие', 'достаточный', 'увлажнение', 'мочь', 'источник', 'ценный', 'лекарственный', 'сырье', 'высокий', 'содержание', 'флавоноид', 'фарминдустрия', 'крупномерный', 'монодоминантный', 'зарасти', 'горец', 'вейрих', 'вписываться', 'озеленение', 'внутриквартальный', 'территория', 'населить', 'пункт', 'вид', 'обладать', 'высокий', 'устойчивость', 'культура', 'благодаря', 'исключительный', 'долголетие', 'десяток', 'год', 'способность', 'поддерживать', 'самовозобновление', 'популяция', 'семенной', 'вегетативный', 'способ', 'показать', 'использование', 'горец', 'фиторемедиация', 'создание', 'природоподобный', 'технология', 'очистка', 'загрязнить', 'водоем', 'новый', 'направление', 'использование', 'горец', 'вейрих', 'выращивание', 'цель', 'углеродный', 'земледелие', 'карбоновый', 'ферма', 'ресурсный', 'потенциал', 'горец', 'вейрих', 'ограничиваться', 'традиционный', 'использование', 'качество', 'кормовой', 'силосный', 'культура', 'позволять', 'обеспечить', 'выполнение', 'разнообразный', 'экологический', 'услуга', 'продукционный', 'природоохранный', 'условие', 'информирование', 'общественность', 'возможный', 'последствие', 'убегание', 'культура', 'вторжение', 'природный', 'экосистема', 'частый', 'весь', 'горец', 'вейрих', 'убегать', 'коллекция', 'ботанический', 'сад', 'место', 'культивирование', 'который', 'настоящий', 'время', 'являться', 'частный', 'садовый', 'участок', 'пока', 'входить', 'число', 'инвазивный', 'вид', 'россия', 'однако', 'некоторый', 'регион', 'создавать', 'серьезный', 'проблема', 'образовать', 'монодоминантный', 'обширный', 'зарасти', 'залежь', 'внедряться', 'природный', 'растительный', 'сообщество']",https://cyberleninka.ru/article/n/perspektivnye-napravleniya-ispolzovaniya-gortsa-veyriha-polygonum-weyrichii-i-ego-invazivnyy-potentsial,,,карбоновый ферма
"['вологодский', 'область', 'морфология', 'экология', 'распространение', 'вопрос', 'охрана']","['росянка', 'английский', 'охранять', 'вид', 'жизненный', 'форма', 'растение', 'новый', 'находка', 'растение', 'сеточный', 'картирование', 'экологический', 'шкала', 'красный', 'книга', 'вологодский', 'область']","['провести', 'анализ', 'распространение', 'биоморфологический', 'экологический', 'фитоценотический', 'особенность', 'вологодский', 'область', 'также', 'вопрос', 'охрана', 'вид', 'ревизия', 'существующий', 'местонахождение', 'вид', 'область', 'основа', 'анализ', 'гербарный', 'коллекция', 'фондовый', 'опубликовать', 'сведение', 'показать', 'период', 'отметить', 'локалитет', 'территория', 'административный', 'район', 'находка', 'вид', 'попадать', 'граница', 'квадрат', 'сеточный', 'картирование', 'принять', 'росянка', 'английский', 'являться', 'кистекорневой', 'турионный', 'многолетний', 'поликарпический', 'трава', 'удлиненный', 'побег', 'несуккулентный', 'тип', 'специализированный', 'лист', 'ловушка', 'иметь', 'невысокий', 'вегетативный', 'подвижность', 'интенсивность', 'вегетативный', 'размножение', 'поэтому', 'самоподдержание', 'популяция', 'происходить', 'семенной', 'способ', 'растение', 'мезобионтный', 'климатический', 'фактор', 'целое', 'наиболее', 'узкий', 'предел', 'толерантность', 'отметить', 'освещенность', 'экотоп', 'богатство', 'почва', 'минеральный', 'соль', 'облигатный', 'типичный', 'болотный', 'вид', 'предпочитать', 'сфагновый', 'денудированный', 'мочажина', 'краевой', 'часть', 'болотный', 'озерко', 'проточный', 'топь', 'верховой', 'болото', 'травяной', 'мочажина', 'аап', 'заливать', 'низинный', 'болото', 'сплавина', 'берег', 'болотный', 'озеро', 'представить', 'единично', 'рассеянно', 'травяномоховой', 'кустарничков', 'травяный', 'моховой', 'болотный', 'сообщество', 'вид', 'включить', 'красный', 'книга', 'вологодский', 'область', 'категория', 'статус', 'зафиксировать', 'граница', 'особо', 'охранять', 'природный', 'территория', 'вид', 'наиболее', 'уязвимый', 'изменение', 'гидрологический', 'режим', 'территория', 'антропогенный', 'климатический', 'изменение']",https://cyberleninka.ru/article/n/drosera-anglica-huds-v-vologodskoy-oblasti-morfologiya-ekologiya-rasprostranenie-i-voprosy-ohrany,,,климатический изменение
"['запас', 'углерод', 'крупный', 'древесный', 'остаток', 'лесной', 'экосистема', 'тестовый', 'полигон', 'ляльский', 'средний', 'тайга', 'республика', 'коми']","['крупный', 'древесный', 'остаток', 'ельник', 'сосняк', 'березняк', 'осинник', 'конверсионный', 'коэффициент']","['крупный', 'древесный', 'остаток', 'кдо', 'являться', 'важный', 'компонент', 'лесной', 'экосистема', 'который', 'необходимо', 'учитывать', 'оценка', 'цикл', 'углерод', 'экосистемный', 'услуга', 'цель', 'настоящий', 'работа', 'оценить', 'запас', 'углерод', 'распределение', 'компонент', 'кдо', 'лесной', 'экосистема', 'тестовый', 'полигон', 'ляльский', 'исследование', 'выполнить', 'постоянный', 'пробный', 'площадь', 'заложить', 'различный', 'тип', 'насаждение', 'граница', 'полигон', 'масса', 'кдо', 'оценивать', 'применение', 'данные', 'базисный', 'плотность', 'учет', 'стадий', 'разложение', 'объем', 'отмереть', 'древесина', 'который', 'затем', 'переводить', 'количество', 'углерод', 'использовать', 'коэффициент', 'запас', 'углерод', 'кдо', 'варьировать', 'широкий', 'предел', 'средний', 'значение', 'древостой', 'преобладание', 'сосна', 'мелколиственный', 'порода', 'сухостойный', 'дерево', 'составлять', 'кдо', 'доля', 'валеж', 'среднее', 'приходиться', 'пень', 'показать', 'вклад', 'древесный', 'порода', 'формирование', 'кдо', 'который', 'зависеть', 'доминирующий', 'вид', 'образовать', 'древесный', 'ярус', 'исследовать', 'насаждение', 'экосистема', 'автоморфный', 'почва', 'возрастать', 'участие', 'сопутствовать', 'древесный', 'порода', 'масса', 'углерод', 'кдо', 'предложить', 'конверсионный', 'коэффициент', 'оценка', 'запас', 'углерод', 'кдо', 'данные', 'объем', 'древесина', 'древостой', 'который', 'среднее', 'составить', 'высокий', 'величина', 'сообщество', 'преобладание', 'получить', 'данные', 'запас', 'углерод', 'кдо', 'найти', 'применение', 'региональный', 'оценка', 'углеродный', 'цикл', 'лесной', 'экосистема']",https://cyberleninka.ru/article/n/zapasy-ugleroda-krupnyh-drevesnyh-ostatkov-v-lesnyh-ekosistemah-testovogo-poligona-lyalskiy-srednyaya-tayga-respublika-komi,запас углерод,,запас углерод
"['влияние', 'сплошной', 'рубка', 'составлять', 'углеродный', 'баланс', 'сосняк', 'черничный', 'южный', 'карелия']","['рубка', 'лес', 'естественный', 'возобновление', 'газообмен', 'древесный', 'растение', 'эмиссия', 'поверхность', 'почва', 'подзолистый', 'песчаный', 'почва', 'фактор', 'внешний', 'среда', 'средний', 'тайга']","['поглощение', 'растение', 'атмосфера', 'процесс', 'фотосинтез', 'дыхание', 'почва', 'больший', 'степень', 'определять', 'углеродный', 'баланс', 'наземный', 'экосистема', 'основа', 'летний', 'наблюдение', 'теплый', 'период', 'год', 'июль', 'август', 'провести', 'оценка', 'составлять', 'углеродный', 'обмен', 'древесный', 'растение', 'почвенный', 'покров', 'сплошной', 'вырубка', 'летний', 'давность', 'среднетаежный', 'сосняк', 'черничный', 'условие', 'южный', 'карелия', 'контроль', 'послужить', 'одновозрастной', 'дерево', 'год', 'естественный', 'почва', 'полог', 'спелый', 'сосняк', 'черничный', 'сопоставление', 'показатель', 'газообмен', 'сосна', 'обыкновенный', 'береза', 'повисла', 'ольха', 'серый', 'moenchь', 'осина', 'выявить', 'условие', 'сплошной', 'вырубок', 'интенсивный', 'связывание', 'процесс', 'фотосинтез', 'относительно', 'выделение', 'лист', 'темновый', 'дыхание', 'весь', 'вид', 'сравнение', 'таковой', 'дерево', 'полог', 'спелый', 'древостой', 'больший', 'интенсивность', 'фотосинтез', 'одновозрастной', 'дерево', 'отметить', 'лиственный', 'вид', 'относительно', 'сосна', 'антропогенно', 'трансформировать', 'биоценоз', 'мкмоль', 'полог', 'сосняк', 'черничный', 'мкмоль', 'показать', 'вклад', 'почвенный', 'эмиссия', 'атмосферный', 'поток', 'сплошной', 'вырубка', 'мкмоль', 'полог', 'древостой', 'мкмоль', 'сотметить', 'преобладание', 'внутрисезонный', 'вариабельность', 'фон', 'схожий', 'среднемноголетний', 'величина', 'показатель', 'углеродный', 'обмен', 'древесный', 'растение', 'почва', 'оба', 'экспериментальный', 'участок']",https://cyberleninka.ru/article/n/vliyanie-sploshnoy-rubki-na-sostavlyayuschie-uglerodnogo-balansa-sosnyaka-chernichnogo-yuzhnoy-karelii,углеродный баланс,,углеродный баланс
"['дешифрирование', 'спутниковый', 'данные', 'определение', 'соров', 'понижение', 'волго', 'уральск', 'междуречье']","['соровый', 'понижение', 'засоление', 'земля', 'опустынивание', 'геоинформационный', 'технология', 'дистанционный', 'зондирование']","['климатический', 'изменение', 'последний', 'десятилетие', 'привести', 'усиление', 'процесс', 'опустынивание', 'европейский', 'часть', 'россия', 'волго', 'уральский', 'междуречье', 'менее', 'подверженный', 'опустынивание', 'отражаться', 'малый', 'количество', 'исследование', 'территория', 'отдельный', 'картографирование', 'соровый', 'понижение', 'солончак', 'необходимо', 'точный', 'анализ', 'динамик', 'опустынивание', 'мочь', 'ошибочно', 'относиться', 'открытый', 'песок', 'данный', 'исследование', 'провести', 'юго', 'восточный', 'часть', 'астраханский', 'область', 'выполнить', 'определение', 'площадь', 'соровый', 'понижение', 'солончак', 'использование', 'данные', 'дистанционный', 'зондирование', 'результат', 'показывать', 'соровый', 'понижение', 'занимать', 'тыс', 'регион', 'потенциально', 'мочь', 'приводить', 'вынос', 'засолить', 'грунт', 'пыльный', 'буря']",https://cyberleninka.ru/article/n/deshifrirovanie-sputnikovyh-dannyh-pri-opredelenii-sorovyh-ponizheniy-v-volgo-uralskom-mezhdurechie,,,климатический изменение
